id,text
1,"Explain quantum mechanics to a colleague"
2,"Use a physics simulation in class"
3,"Create a hands-on experiment demo"
4,"Discuss real-world physics applications"
5,"Share a physics teaching tip"
6,"Take a photo with lab equipment"
7,"Explain a physics concept with analogy"
8,"Show students a physics calculation"
9,"Demonstrate wave properties"
10,"Discuss energy conservation"
11,"Explain electromagnetic induction"
12,"FREE SPACE"
13,"Show projectile motion example"
14,"Discuss atomic structure"
15,"Explain thermodynamics concept"
16,"Demonstrate simple machines"
17,"Show interference patterns"
18,"Discuss relativity basics"
19,"Explain circuit analysis"
20,"Demonstrate oscillations"
21,"Show magnetic field effects"
22,"Discuss nuclear physics"
23,"Explain optics principles"
24,"Demonstrate momentum conservation"
25,"Share physics career inspiration"
